x,y
-0.420,4.070
-0.170,4.070
-0.670,4.020
0.030,4.020
0.230,3.970
-0.970,3.920
0.430,3.920
-1.220,3.770
0.580,3.770
0.780,3.670
-1.370,3.620
0.930,3.520
-1.520,3.470
1.080,3.370
-1.670,3.320
1.130,3.170
-1.820,3.120
1.180,2.970
-1.920,2.920
1.330,2.820
-1.970,2.720
1.380,2.620
-2.020,2.520
1.430,2.420
-1.870,2.370
-0.370,2.370
-0.120,2.370
0.080,2.320
-2.020,2.220
-0.520,2.220
0.280,2.220
1.480,2.220
-1.870,2.070
-0.670,2.070
0.430,2.070
1.530,2.020
-1.970,1.870
-0.770,1.870
0.380,1.870
1.580,1.820
-1.820,1.720
0.530,1.720
-0.820,1.670
1.730,1.670
-1.920,1.520
0.480,1.520
-0.720,1.470
1.780,1.470
-1.870,1.320
0.530,1.320
-0.770,1.270
1.830,1.270
-0.570,1.220
-1.970,1.120
0.580,1.120
1.980,1.120
-0.720,1.070
-2.020,0.920
-0.520,0.920
0.530,0.920
2.030,0.920
-3.170,0.870
-2.920,0.870
-2.670,0.870
-0.770,0.870
-3.420,0.820
-2.470,0.820
0.080,0.820
-2.270,0.770
-0.370,0.770
-3.770,0.720
-2.070,0.720
1.980,0.720
-3.570,0.670
-0.120,0.670
-3.970,0.570
1.930,0.520
-4.120,0.420
1.880,0.320
-4.220,0.220
1.780,0.120
-4.270,0.020
1.630,-0.030
-2.470,-0.080
-2.970,-0.130
-2.720,-0.130
-2.270,-0.130
-4.170,-0.180
1.480,-0.180
-3.170,-0.280
-2.570,-0.280
1.280,-0.280
-2.320,-0.330
-1.320,-0.330
-4.220,-0.380
-1.120,-0.380
-0.870,-0.380
0.980,-0.380
-0.670,-0.430
0.680,-0.430
-3.270,-0.480
0.380,-0.480
-2.370,-0.530
-1.370,-0.530
-0.470,-0.530
-0.220,-0.530
0.030,-0.530
-4.170,-0.580
-3.220,-0.680
-1.420,-0.730
-4.120,-0.780
-2.420,-0.780
-3.270,-0.880
-3.970,-0.930
-1.370,-0.930
-2.370,-0.980
-3.220,-1.080
-4.020,-1.130
-1.520,-1.130
-2.470,-1.180
-3.070,-1.230
-3.870,-1.280
-2.870,-1.330
-1.570,-1.330
-3.820,-1.480
-1.620,-1.530
-3.770,-1.680
-1.770,-1.730
-3.570,-1.780
-1.970,-1.880
-3.520,-1.980
-2.170,-1.980
-3.320,-2.080
-2.470,-2.080
-3.120,-2.130
-2.670,-2.130
-2.920,-2.180
-2.270,-2.180
