x,y
7.115093269884950056e-01,3.661925188164889988e+00
9.019663346798917347e-01,3.446659122579313728e+00
1.071144913042137103e+00,3.252959026035356693e+00
1.219976765919250861e+00,3.079827452036521862e+00
1.349393597155254421e+00,2.926266954086318428e+00
1.460327110594167310e+00,2.791280085688252477e+00
1.553709010080010833e+00,2.673869400345829650e+00
1.630470999456804515e+00,2.573037451562555145e+00
1.691544782568568772e+00,2.487786792841938155e+00
1.737862063259325351e+00,2.417119977687482990e+00
1.770354545373093336e+00,2.360039559602697068e+00
1.789953932753893362e+00,2.315548092091086030e+00
1.797591929245746067e+00,2.282648128656155961e+00
1.794200238692672311e+00,2.260342222801414724e+00
1.780710564938692064e+00,2.247632928030367960e+00
1.758054611827825520e+00,2.243522797846521755e+00
1.727164083204093759e+00,2.247014385753382637e+00
1.688970682911516752e+00,2.257110245254457581e+00
1.644406114794114693e+00,2.272812929853251784e+00
1.594402082695907996e+00,2.293124993053272664e+00
1.539890290460918409e+00,2.317048988358026307e+00
1.481802441933165015e+00,2.343587469271019241e+00
1.421070240956668673e+00,2.371742989295757997e+00
1.358625391375449132e+00,2.400518101935747772e+00
1.295399597033527694e+00,2.428915360694495984e+00
1.232324561774925220e+00,2.455937319075510050e+00
1.170331989443660792e+00,2.480586530582294724e+00
1.110353583883755713e+00,2.501865548718356091e+00
1.053321048939230176e+00,2.518776926987201570e+00
1.000166088454104152e+00,2.530323218892337689e+00
9.518204062723990555e-01,2.535506977937270978e+00
9.092157062381346355e-01,2.533330757625506635e+00
8.732836921953317511e-01,2.522797111460551633e+00
8.449560679880103731e-01,2.502908592945912947e+00
8.249457810263981505e-01,2.472932548065813751e+00
8.128497533172929224e-01,2.433487209404680662e+00
8.079099231665411995e-01,2.385620497548152752e+00
8.093680803722016481e-01,2.330380512842277874e+00
8.164660147323328232e-01,2.268815355633102548e+00
8.284455160449935018e-01,2.201973126266672853e+00
8.445483741082424611e-01,2.130901925089036641e+00
8.640163787201382561e-01,2.056649852446240434e+00
8.860913196787397750e-01,1.980265008684332528e+00
9.100149867821052396e-01,1.902795494149357003e+00
9.350291698282938713e-01,1.825289409187363709e+00
9.603756586153641139e-01,1.748794854144396949e+00
9.852962429413748557e-01,1.674359929366505906e+00
1.009032712604384319e+00,1.603032735199735992e+00
1.030826857402451280e+00,1.535861371990135060e+00
1.049920467133634627e+00,1.473893940083749632e+00
1.065555331595993582e+00,1.418178539826626894e+00
1.076973240587585590e+00,1.369763271564813145e+00
1.083415983906470759e+00,1.329696235644356017e+00
1.084125351350706534e+00,1.299025532411301365e+00
1.078409772189490523e+00,1.278701377170941900e+00
1.066234100349518155e+00,1.268709779582051889e+00
1.047936555840273565e+00,1.268488321268096630e+00
1.023859672599858550e+00,1.277468247231445142e+00
9.943459845663751295e-01,1.295080802474466442e+00
9.597380256779260987e-01,1.320757231999530212e+00
9.203783298726125883e-01,1.353928780809004806e+00
8.766094310885373941e-01,1.394026693905259240e+00
8.287738632638019798e-01,1.440482216290662976e+00
7.772141603365094742e-01,1.492726592967585475e+00
7.222728562447606748e-01,1.550191068938395089e+00
6.642924849266585996e-01,1.612306889205461058e+00
6.036155803203050452e-01,1.678505298771152177e+00
5.405846763638019192e-01,1.748217542637838351e+00
4.755423069952517401e-01,1.820874865807889043e+00
4.088310061527564709e-01,1.895908513283671271e+00
3.407933077744177974e-01,1.972749730067555829e+00
2.717717457983376828e-01,2.050829761161911513e+00
2.021088541626192003e-01,2.129579851569107340e+00
1.321471668053640913e-01,2.208431246291510774e+00
6.222921766467420790e-02,2.286815190331493497e+00
-7.302459321348456385e-03,2.364162928691423193e+00
-7.610533021460151593e-02,2.439905706373668881e+00
-1.438368610769829581e-01,2.513474768380600466e+00
-2.101545179703907529e-01,2.584301359714586077e+00
-2.747157669567228955e-01,2.651816725377995176e+00
-3.371780740978770896e-01,2.715452110373197669e+00
-3.971989054557513721e-01,2.774638759702561241e+00
-4.544357270922436132e-01,2.828807918368455354e+00
-5.085460050692515166e-01,2.877390831373249469e+00
-5.591872054486733967e-01,2.919818743719313048e+00
-6.060167942924069573e-01,2.955522900409014220e+00
-6.486922376623499575e-01,2.983934546444721558e+00
-6.868710016204004898e-01,3.004484926828805857e+00
-7.202105522284563133e-01,3.016605286563635246e+00
-7.483683555484155203e-01,3.019726870651578743e+00
-7.710018776421760922e-01,3.013280924095005364e+00
-7.877798595464173825e-01,2.996724792011363103e+00
-7.986396510551782013e-01,2.970137614210653698e+00
-8.037924722291130974e-01,2.934232504911997719e+00
-8.034618705296457941e-01,2.889751114680264799e+00
-7.978713934182005696e-01,2.837435094080325904e+00
-7.872445883562013691e-01,2.778026093677051556e+00
-7.718050028050719158e-01,2.712265764035311832e+00
-7.517761842262362659e-01,2.640895755719976812e+00
-7.273816800811184757e-01,2.564657719295917460e+00
-6.988450378311427125e-01,2.484293305328003854e+00
-6.663898049377329214e-01,2.400544164381106960e+00
-6.302395288623127145e-01,2.314151947020095523e+00
-5.906204397446950249e-01,2.225855135026628684e+00
-5.478668409963384223e-01,2.136264553892893048e+00
-5.024556563139340737e-01,2.045822565844084284e+00
-4.548735685468350831e-01,1.954960005581540150e+00
-4.056072605443932222e-01,1.864107707806599512e+00
-3.551434151559613728e-01,1.773696507220601681e+00
-3.039687152308919726e-01,1.684157238524885969e+00
-2.525698436185372930e-01,1.595920736420790575e+00
-2.014334831682499105e-01,1.509417835609654812e+00
-1.510463167293822628e-01,1.425079370792817768e+00
-1.018950271512867045e-01,1.343336176671617643e+00
-5.446629728331578435e-02,1.264619087947393750e+00
-9.246809974821924502e-03,1.189358939321485398e+00
3.327675192484295941e-02,1.117986565495229900e+00
7.261770556632522744e-02,1.050932801169968567e+00
1.082893681002730091e-01,9.886284810470390427e-01
1.398050566773339498e-01,9.315044398277803062e-01
